M,n,W,U,D,L,Lock-Free Rate,Home-Queue Rate,Speedup
2000,1,25,t,8,p,1544.06,1634.398,0.94473 
2000,1,25,t,8,a,1544.06,1741.13,0.88681 
2000,1,50,t,8,p,1589.398,1607.176,0.98894 
2000,1,50,t,8,a,1589.398,1637.346,0.97072 
2000,1,100,t,8,p,1439.922,1374.793,1.04737 
2000,1,100,t,8,a,1439.922,1368.12,1.05248 
2000,1,200,t,8,p,1088.425,1051.937,1.03469 
2000,1,200,t,8,a,1088.425,1014.175,1.07321 
2000,1,400,t,8,p,733.364,719.441,1.01935 
2000,1,400,t,8,a,733.364,676.643,1.08383 
2000,1,800,t,8,p,428.781,423.8755,1.01157 
2000,1,800,t,8,a,428.781,406.2965,1.05534 
